Status	Approved symbol	Approved name	UniProt accession
Approved	OR5T1	olfactory receptor family 5 subfamily T member 1	Q8NG75
Approved	OR5T2	olfactory receptor family 5 subfamily T member 2	Q8NGG2
Approved	OR5T3	olfactory receptor family 5 subfamily T member 3	Q8NGG3
Approved	OR5V1	olfactory receptor family 5 subfamily V member 1	Q9UGF6
Approved	OR5W2	olfactory receptor family 5 subfamily W member 2	Q8NH69
Approved	OR6A2	olfactory receptor family 6 subfamily A member 2	O95222
Approved	OR6B1	olfactory receptor family 6 subfamily B member 1	O95007
Approved	OR6B2	olfactory receptor family 6 subfamily B member 2	Q6IFH4
Approved	OR6B3	olfactory receptor family 6 subfamily B member 3	Q8NGW1
Approved	OR6C1	olfactory receptor family 6 subfamily C member 1	Q96RD1
Approved	OR6C2	olfactory receptor family 6 subfamily C member 2	Q9NZP2
Approved	OR6C3	olfactory receptor family 6 subfamily C member 3	Q9NZP0
Approved	OR6C4	olfactory receptor family 6 subfamily C member 4	Q8NGE1
Approved	OR6C6	olfactory receptor family 6 subfamily C member 6	A6NF89
Approved	OR6C65	olfactory receptor family 6 subfamily C member 65	A6NJZ3
Approved	OR6C68	olfactory receptor family 6 subfamily C member 68	A6NDL8
Approved	OR6C70	olfactory receptor family 6 subfamily C member 70	A6NIJ9
Approved	OR6C74	olfactory receptor family 6 subfamily C member 74	A6NCV1
Approved	OR6C75	olfactory receptor family 6 subfamily C member 75	A6NL08
Approved	OR6C76	olfactory receptor family 6 subfamily C member 76	A6NM76
Approved	OR6F1	olfactory receptor family 6 subfamily F member 1	Q8NGZ6
Approved	OR6J1	olfactory receptor family 6 subfamily J member 1	Q8NGC5
Approved	OR6K2	olfactory receptor family 6 subfamily K member 2	Q8NGY2
Approved	OR6K3	olfactory receptor family 6 subfamily K member 3	Q8NGY3
Approved	OR6K6	olfactory receptor family 6 subfamily K member 6	Q8NGW6
Approved	OR6M1	olfactory receptor family 6 subfamily M member 1	Q8NGM8
Approved	OR6N1	olfactory receptor family 6 subfamily N member 1	Q8NGY5
Approved	OR6N2	olfactory receptor family 6 subfamily N member 2	Q8NGY6
Approved	OR6P1	olfactory receptor family 6 subfamily P member 1	Q8NGX9
Approved	OR6Q1	olfactory receptor family 6 subfamily Q member 1	Q8NGQ2
Approved	OR6S1	olfactory receptor family 6 subfamily S member 1	Q8NH40
Approved	OR6T1	olfactory receptor family 6 subfamily T member 1	Q8NGN1
Approved	OR6V1	olfactory receptor family 6 subfamily V member 1	Q8N148
Approved	OR6X1	olfactory receptor family 6 subfamily X member 1	Q8NH79
Approved	OR6Y1	olfactory receptor family 6 subfamily Y member 1	Q8NGX8
Approved	OR7A5	olfactory receptor family 7 subfamily A member 5	Q15622
Approved	OR7A10	olfactory receptor family 7 subfamily A member 10	O76100
Approved	OR7A17	olfactory receptor family 7 subfamily A member 17	O14581
Approved	OR7C1	olfactory receptor family 7 subfamily C member 1	O76099
Approved	OR7C2	olfactory receptor family 7 subfamily C member 2	O60412
Approved	OR7D2	olfactory receptor family 7 subfamily D member 2	Q96RA2
Approved	OR7D4	olfactory receptor family 7 subfamily D member 4	Q8NG98
Approved	OR7E24	olfactory receptor family 7 subfamily E member 24	Q6IFN5
Approved	OR7G1	olfactory receptor family 7 subfamily G member 1	Q8NGA0
Approved	OR7G2	olfactory receptor family 7 subfamily G member 2	Q8NG99
Approved	OR7G3	olfactory receptor family 7 subfamily G member 3	Q8NG95
Approved	OR8A1	olfactory receptor family 8 subfamily A member 1	Q8NGG7
Approved	OR8B2	olfactory receptor family 8 subfamily B member 2	Q96RD0
Approved	OR8B3	olfactory receptor family 8 subfamily B member 3	Q8NGG8
Approved	OR8B4	olfactory receptor family 8 subfamily B member 4	Q96RC9
Approved	OR8B8	olfactory receptor family 8 subfamily B member 8	Q15620
Approved	OR8B12	olfactory receptor family 8 subfamily B member 12	Q8NGG6
Approved	OR8D1	olfactory receptor family 8 subfamily D member 1	Q8WZ84
Approved	OR8D2	olfactory receptor family 8 subfamily D member 2	Q9GZM6
Approved	OR8D4	olfactory receptor family 8 subfamily D member 4	Q8NGM9
Approved	OR8G1	olfactory receptor family 8 subfamily G member 1	Q15617
Approved	OR8G5	olfactory receptor family 8 subfamily G member 5	Q8NG78
Approved	OR8H1	olfactory receptor family 8 subfamily H member 1	Q8NGG4
Approved	OR8H2	olfactory receptor family 8 subfamily H member 2	Q8N162
Approved	OR8H3	olfactory receptor family 8 subfamily H member 3	Q8N146
Approved	OR8I2	olfactory receptor family 8 subfamily I member 2	Q8N0Y5
Approved	OR8J1	olfactory receptor family 8 subfamily J member 1	Q8NGP2
Approved	OR8J3	olfactory receptor family 8 subfamily J member 3	Q8NGG0
Approved	OR8K1	olfactory receptor family 8 subfamily K member 1	Q8NGG5
Approved	OR8K5	olfactory receptor family 8 subfamily K member 5	Q8NH50
Approved	OR8S1	olfactory receptor family 8 subfamily S member 1	Q8NH09
Approved	OR8U1	olfactory receptor family 8 subfamily U member 1	Q8NH10
Approved	OR8U3	olfactory receptor family 8 subfamily U member 3	Q8NH85
